Player Info,Defeated,Assist,Defeated,Fun Coin,Damage,Tank,Heal,Siege Damage
caldvn,36,62,8,792,21780932,5518818,0,1468464
Taosm,17,64,15,0,9916795,5403047,2864,157083
Mürasame,17,65,7,720,14886348,5399300,0,1043028
XoFz,15,45,16,660,7426981,5667237,0,2285285
BusyP,12,60,14,3960,4964439,6294743,0,1276367
TheShutter,9,45,18,792,7486688,5284392,804,5371328
Sundog旭,7,48,11,792,4511809,4033305,0,114115
FugiTora,6,20,22,0,4151112,5419878,0,2135796
Kryvin,6,55,17,0,4884171,6775775,0,382867
LollyCervantes,5,39,8,0,2525490,7841726,20432766,1208173
Hameee,5,64,11,1584,5003281,6414530,644300,789124
Lyxis,4,86,10,0,5053021,5588897,475973,737888
VioletFoxxZ,4,46,8,660,1857190,5998500,16276185,541992
Luckyavenge,4,62,11,0,3561334,7458730,723050,1011508
Feng-xing,4,52,7,0,2804932,5352311,12189693,649399
Vaelrie,4,63,11,0,3369993,6857409,18026283,397291
Mòyì,3,37,9,1500,5154539,4514594,0,3668667
DahrCervantes,3,49,10,0,3243666,8997690,20725750,1246774
DrWeeee,1,54,9,0,2238399,5166716,0,490117
LinhSong,0,27,18,0,3189436,5258773,26636,750193
