Player Info,Defeated,Assist,Defeated.1,Fun Coin,Damage,Tank,Heal,Siege Damage,KDR,Damage_to_kills,Deaths_to_tanked
caldvn,36,62,8,792,21780932,5518818,0,1468464,4.5,605025.8888888889,689852.25
Taosm,17,64,15,0,9916795,5403047,2864,157083,1.1333333333333333,583340.8823529412,360203.13333333336
Mürasame,17,65,7,720,14886348,5399300,0,1043028,2.4285714285714284,875667.5294117647,771328.5714285715
XoFz,15,45,16,660,7426981,5667237,0,2285285,0.9375,495132.06666666665,354202.3125
BusyP,12,60,14,3960,4964439,6294743,0,1276367,0.8571428571428571,413703.25,449624.5
TheShutter,9,45,18,792,7486688,5284392,804,5371328,0.5,831854.2222222222,293577.3333333333
Sundog旭,7,48,11,792,4511809,4033305,0,114115,0.6363636363636364,644544.1428571428,366664.0909090909
FugiTora,6,20,22,0,4151112,5419878,0,2135796,0.2727272727272727,691852.0,246358.0909090909
Kryvin,6,55,17,0,4884171,6775775,0,382867,0.35294117647058826,814028.5,398575.0
LollyCervantes,5,39,8,0,2525490,7841726,20432766,1208173,0.625,505098.0,980215.75
Hameee,5,64,11,1584,5003281,6414530,644300,789124,0.45454545454545453,1000656.2,583139.0909090909
Lyxis,4,86,10,0,5053021,5588897,475973,737888,0.4,1263255.25,558889.7
VioletFoxxZ,4,46,8,660,1857190,5998500,16276185,541992,0.5,464297.5,749812.5
Luckyavenge,4,62,11,0,3561334,7458730,723050,1011508,0.36363636363636365,890333.5,678066.3636363636
Feng-xing,4,52,7,0,2804932,5352311,12189693,649399,0.5714285714285714,701233.0,764615.8571428572
Vaelrie,4,63,11,0,3369993,6857409,18026283,397291,0.36363636363636365,842498.25,623400.8181818182
Mòyì,3,37,9,1500,5154539,4514594,0,3668667,0.3333333333333333,1718179.6666666667,501621.55555555556
DahrCervantes,3,49,10,0,3243666,8997690,20725750,1246774,0.3,1081222.0,899769.0
DrWeeee,1,54,9,0,2238399,5166716,0,490117,0.1111111111111111,2238399.0,574079.5555555555
LinhSong,0,27,18,0,3189436,5258773,26636,750193,0.0,,292154.05555555556
